IdN,Id_site,Name_site,ID,sept-17,oct-17,nov-17,Dec-17,Jan-18,feb-18,Feb-18_UNM,mar-18,Apr-18,may-18,jun-18,jul-18,Aug-18
1,1MAND,MANDURIACU DOWNSTREAM,P2_d,-63.41,-65.89,-66.52,-65.53,-61.73,NA,NA,NA,NA,NA,NA,NA,NA
2,2MAND,MANDURIACU UPSTREAM,P2_u,-63.56,-61.48,-66.14,-65.41,-61.88,-54.01,-50.17,-41.12,-72.41,-64.92,-70.15,-65.85,-63.32
3,3MASH,MASHPI RIVER,P1,-33.31,-33.5,-33.62,-33.79,-34.04,-33.24,-28.64,-21.95,-34.76,-36.39,-34.72,-41.34,-33.93
4,4GUAY,GUAYLLABAMBA RIVER,P4,-79.2,-69.19,-80.74,-72.57,-80.13,-74.36,-72.59,-77.21,-92.18,-87.4,-92.12,-71.73,-78.98
5,5PITA,PITA RIVER,P5,-86.05,-84.81,-86.86,-80.56,-85.17,-83.54,-81.02,-84.48,-88.64,-89.86,-86.43,-84.47,-77.76
6,6MICA,MICA LAKE,P15,NA,-72.2,-72.82,-70.27,NA,-70.17,NA,NA,NA,NA,NA,NA,-75.43
7,7ANTI,ANTISANA STREAM,P9,-104.73,-103.41,-106.61,-103.95,-106.01,-103.92,-102.44,-84.55,-106.88,-106.7,-85.26,-104.64,-103.79
8,8GUAC,GUACHALA RIVER,P8,NA,-75.11,-84.16,-76.33,-81.99,-79.74,-79,-80.11,-89.2,-93.84,-87.87,-79.79,-75.36
9,9GRAN,GRANOBLE RIVER,P7,-83.49,-75.99,-84.9,-76.73,-82.36,-80.87,-79.78,-80.77,-90.63,-92.76,-89.25,-79.33,-81.32
10,10UP C,UP COCA RIVER DISCHARGE TURBINES,P16,-52.72,-55.05,-53.33,-47.35,-58.4,-42.68,-40.5,-45.9,-63.95,-70.37,NA,NA,NA
11,11DESC,DESCHARGE FROM TURBINES IN COCA,P17,-59.29,-59.61,-62.79,-53.04,-61.27,-52.08,-48.7,-55.68,-67.23,-72.3,NA,NA,NA
12,12RESE,RESERVOIR COCA UPSTREAM TURBINES,P18,-58.51,-59.51,-62.76,-52.77,-60.9,-51.31,-49.4,-54.99,-67.23,-71.18,NA,NA,NA
13,13MALO,MALO RIVER,P14,-51.12,-52.12,-59.24,-45.3,-51.6,-45.73,-41.8,-48.68,-76.55,-60.89,-58.93,-56.74,-46.07
14,14COCA,COCA RIVER MAIN INTAKE DOWNSTREAM,P12_d,-56.9,-57.87,-61.71,-52.53,-60.76,-50.96,-47.5,-55.62,-71.07,-71.52,-70.47,-66.23,-58.03
15,15COCA,COCA RIVER INTAKE UPSTREAM,P12_u,-57.53,-59.94,-61.81,-52.48,-60.61,-50.03,-47,-55.74,-72.62,-70.67,-70.51,-64.94,-58.42
16,16SALA,SALADO RIVER,P13,-57.71,-58.39,-62.63,-52.21,-59.55,-55.41,-49.17,-56.58,-82.9,-69.37,-69.65,-65.08,-54.39
17,17QUIJ,QUIJOS RIVER IN SUMACO,P11,-57.64,-60.95,-64.37,-59.16,-64.18,-58,-55.41,-58.85,-76.21,-74.89,-71.57,-68.94,-60.75
18,18TRIB,TRIBUTARY OF PAPALLACTA LAKE,P10,NA,-76.44,-79.25,-75.28,-78.36,-76.07,-75.63,-76.46,NA,-85.37,-81.53,-79.18,-72.49
19,19PAPA,PAPALLACTA LAKE,P19,NA,-75.4,NA,-74.25,-79.01,-75.7,-74.05,-74.99,-77.25,-78.52,-83.84,-80.27,-78.88
20,20SAN ,SAN PEDRO RIVER,P3,NA,NA,-82.87,NA,-82.14,-79.93,-78.7,NA,NA,-83.68,-82.17,NA,-81.06
21,21COCA,COCA RIVER DOWNSTREAM OF JUNCTION TURBINES,P20,NA,NA,-57.62,-49.86,NA,-50.38,-48.71,-53.53,-53.53,-70,NA,NA,NA
22,22CARI,CARIACU RIVER,P6,-90.49,NA,-91.96,-82.78,-92.62,-87.57,-86.09,-82.34,-99.86,NA,-105.18,-94.61,-93.34
