IdN,Id_site,Name_site,ID,sept-17,oct-17,nov-17,Dec-17,Jan-18,feb-18,Feb-18_UNM,mar-18,Apr-18,may-18,jun-18,jul-18,Aug-18
1,1MAND,MANDURIACU DOWNSTREAM,P2_d,-9.44,-9.63,-9.92,-9.62,-9.38,NA,NA,NA,NA,NA,NA,NA,NA
2,2MAND,MANDURIACU UPSTREAM,P2_u,-9.42,-9.18,-9.96,-9.61,-9.38,-8.22,-8.24,-6.87,-10.65,-9.46,-10.25,-9.7,-9.32
3,3MASH,MASHPI RIVER,P1,-5.85,-5.83,-6.07,-5.8,-6,-5.65,-5.74,-4.46,-5.98,-6.09,-6.01,-6.83,-5.84
4,4GUAY,GUAYLLABAMBA RIVER,P4,-11.26,-10.37,-11.65,-10.45,-11.46,-10.5,-10.16,-10.32,-12.94,-12.23,-12.78,-10.43,-11.07
5,5PITA,PITA RIVER,P5,-12.18,-11.83,-12.45,-11.27,-12.05,-11.61,-11.69,-11.69,-12.37,-12.43,-11.99,-11.88,-11.03
6,6MICA,MICA LAKE,P15,NA,-9.72,-10.11,-9.49,NA,-9.31,NA,NA,NA,NA,NA,NA,-10.19
7,7ANTI,ANTISANA STREAM,P9,-14.51,-14.3,-14.9,-14.26,-14.7,-14.17,-14.2,-12.05,-14.73,-14.36,-12.2,-14.42,-14.24
8,8GUAC,GUACHALA RIVER,P8,NA,-10.81,-12.13,-11.01,-11.92,-11.33,-11.34,-11.69,-12.8,-13.2,-12.64,-11.69,-11.04
9,9GRAN,GRANOBLE RIVER,P7,-11.79,-11.2,-12.16,-10.99,-11.8,-11.45,-11.52,-11.64,-12.84,-12.98,-12.75,-11.54,-11.42
10,10UP C,UP COCA RIVER DISCHARGE TURBINES,P16,-8.64,-8.73,-8.74,-7.63,-9.23,-7.14,-7.14,-7.71,-9.84,-10.58,NA,NA,NA
11,11DESC,DESCHARGE FROM TURBINES IN COCA,P17,-9.42,-9.32,-9.99,-8.36,-9.61,-8.32,-8.23,-8.95,-10.34,-10.8,NA,NA,NA
12,12RESE,RESERVOIR COCA UPSTREAM TURBINES,P18,-9.34,-9.25,-9.97,-8.35,-9.52,-8.2,-8.08,-8.87,-10.33,-10.48,NA,NA,NA
13,13MALO,MALO RIVER,P14,-8.43,-8.28,-9.54,-7.46,-8.44,-7.46,-7.1,-8.13,-11.52,-9.34,-9.25,-9.11,-7.82
14,14COCA,COCA RIVER MAIN INTAKE DOWNSTREAM,P12_d,-9.06,-9.01,-9.82,-8.35,-9.55,-8.17,-8.17,-8.91,-10.86,-10.67,-10.67,-10.26,-9.29
15,15COCA,COCA RIVER INTAKE UPSTREAM,P12_u,-9.19,-9.32,-9.87,-8.35,-9.55,-8.01,-8.08,-8.88,-11.04,-10.56,-10.69,-10.12,-9.31
16,16SALA,SALADO RIVER,P13,-9.12,-8.98,-9.95,-8.35,-9.44,-8.72,-7.98,-9.08,-12.38,-10.48,-10.56,-10.16,-8.96
17,17QUIJ,QUIJOS RIVER IN SUMACO,P11,-9.15,-9.18,-10.14,-9.12,-9.95,-9.01,-9.05,-9.24,-11.51,-11.07,-10.74,-10.57,-9.61
18,18TRIB,TRIBUTARY OF PAPALLACTA LAKE,P10,NA,-11.17,-11.69,-10.87,-11.44,-10.94,-10.96,-11.16,NA,-12.27,-11.85,-11.59,-10.82
19,19PAPA,PAPALLACTA LAKE,P19,NA,-10.93,NA,-10.61,-11.43,-10.73,-10.74,-10.91,-11.2,-9.33,-12.04,-11.66,-11.53
20,20SAN ,SAN PEDRO RIVER,P3,NA,NA,-11.95,NA,-11.7,-11.19,-11.23,NA,NA,-11.72,-11.59,NA,-11.48
21,21COCA,COCA RIVER DOWNSTREAM OF JUNCTION TURBINES,P20,NA,NA,-9.33,-7.97,NA,-7.99,-8.01,-8.62,NA,-10.49,NA,NA,NA
22,22CARI,CARIACU RIVER,P6,-12.74,NA,-13.26,-11.75,-13.17,-12.09,-12.37,-11.82,-14.1,NA,-14.53,-13.31,-13.14
