IdN,Id_site,River_name,Id,Stream_Order,Altit_mean,Area _Km2,Drainage_System,Altit_max,Altit_min,
1,1MAND,MANDURIACU DOWNSTREAM,P2_d,6,3110,6978,MHP,5897,454,
2,2MAND,MANDURIACU UPSTREAM,P2_u,6,3110,6978,MHP,5897,495,
3,3MASH,MASHPI RIVER,P1,2,903,90,MHP,1878,500,
4,4GUAY,GUAYLLABAMBA RIVER,P4,5,3430,2663,MHP,5897,1947,
5,5PITA,PITA RIVER,P5,4,4160,194,MHP,5897,3626,
6,6MICA,MICA LAKE,P15,NA,NA,NA,MHP,NA,3200,
7,7ANTI,ANTISANA STREAM,P9,3,4435,37,CCSHP,5753,4014,
8,8GUAC,GUACHALA RIVER,P8,5,3835,369,MHP,5790,2645,
9,9GRAN,GRANOBLE RIVER,P7,5,3582,381,MHP,5790,2679,
10,10UP C,UP COCA RIVER DISCHARGE TURBINES,P16,NA,NA,NA,CCSHP,NA,605.5,
11,11DESC,DESCHARGE FROM TURBINES IN COCA,P17,NA,NA,NA,CCSHP,NA,608,
12,12RESE,RESERVOIR COCA UPSTREAM TURBINES,P18,NA,NA,NA,CCSHP,NA,1224,
13,13MALO,MALO RIVER,P14,3,2474,73,CCSHP,3479,1271,
14,14COCA,COCA RIVER MAIN INTAKE DOWNSTREAM,P12_d,6,3367,3703,CCSHP,5790,1270,
15,15COCA,COCA RIVER INTAKE UPSTREAM,P12_u,6,3367,3703,CCSHP,5790,1272,
16,16SALA,SALADO RIVER,P13,5,3260,923,CCSHP,5790,1313,
17,17QUIJ,QUIJOS RIVER IN SUMACO,P11,5,3462,2400,CCSHP,5753,1581,
18,18TRIB,TRIBUTARY OF PAPALLACTA LAKE,P10,3,4036,54,CCSHP,5753,3425,
19,19PAPA,PAPALLACTA LAKE,P19,NA,NA,NA,CCSHP,NA,3356,
20,20SAN ,SAN PEDRO RIVER,P3,4,3425,599,MHP,4431,2628,
21,21COCA,COCA RIVER DOWNSTREAM OF JUNCTION TURBINES,P20,NA,NA,NA,CCSHP,NA,605,
22,22CARI,CARIACU RIVER,P6,3,4249,19,MHP,5790,3481,
